subId,NTspeed_Corrected,P_out_ncl,speed_out_ncl,TimeSeries,T_out_ncl,u_out_ncl,v_out_ncl,w_out_ncl,predict_date,Id,time_second,speed
89,7.545,1604.2,11.1729,2016-04-01_16:15:00,-16.3203,-3.6204,10.5701,0.0031,20160401,0,2016-04-02 00:15:00,7.209345885
90,7.463,1610.7,11.0414,2016-04-01_16:30:00,-16.3965,-3.6865,10.4078,0.0029,20160401,1,2016-04-02 00:30:00,7.312538432
91,7.371,1626.3,10.8958,2016-04-01_16:45:00,-16.474,-3.7338,10.236,0.0032,20160401,2,2016-04-02 00:45:00,6.780656572
92,7.287,1627.3,10.7631,2016-04-01_17:00:00,-16.5284,-3.7768,10.0787,0.0031,20160401,3,2016-04-02 01:00:00,7.121600449
93,7.21,1623.9,10.6407,2016-04-01_17:15:00,-16.5723,-3.7757,9.9483,0.0026,20160401,4,2016-04-02 01:15:00,7.12789487
94,7.131,1612.4,10.5155,2016-04-01_17:30:00,-16.6198,-3.7202,9.8354,0.0019,20160401,5,2016-04-02 01:30:00,6.406001465
95,7.055,1603.9,10.394,2016-04-01_17:45:00,-16.648,-3.6424,9.7349,0.0008,20160401,6,2016-04-02 01:45:00,6.400289132
96,7.024,1606.7,10.3457,2016-04-01_18:00:00,-16.6492,-3.5522,9.7168,0,20160401,7,2016-04-02 02:00:00,6.463890231
97,7.008,1611.8,10.3197,2016-04-01_18:15:00,-16.6498,-3.4582,9.723,-0.0003,20160401,8,2016-04-02 02:15:00,5.949644942
98,6.999,1615,10.3056,2016-04-01_18:30:00,-16.6499,-3.3998,9.7287,-0.0006,20160401,9,2016-04-02 02:30:00,5.865917364
99,7.005,1616.7,10.315,2016-04-01_18:45:00,-16.6574,-3.395,9.7403,-0.0002,20160401,10,2016-04-02 02:45:00,5.572875211
100,7.01,1608.2,10.3239,2016-04-01_19:00:00,-16.6745,-3.3738,9.7571,0.0005,20160401,11,2016-04-02 03:00:00,5.540275057
101,6.975,1601.8,10.2677,2016-04-01_19:15:00,-16.6952,-3.3588,9.7028,0.0006,20160401,12,2016-04-02 03:15:00,5.850210848
102,6.926,1598.6,10.1892,2016-04-01_19:30:00,-16.7389,-3.3982,9.6058,0.0006,20160401,13,2016-04-02 03:30:00,5.570868313
103,6.889,1598.8,10.1312,2016-04-01_19:45:00,-16.7711,-3.5068,9.5049,0.0011,20160401,14,2016-04-02 03:45:00,5.595181802
104,6.877,1598.6,10.1115,2016-04-01_20:00:00,-16.7788,-3.6637,9.4245,0.0022,20160401,15,2016-04-02 04:00:00,6.065642872
105,6.885,1591.1,10.1248,2016-04-01_20:15:00,-16.8093,-3.8294,9.3727,0.0029,20160401,16,2016-04-02 04:15:00,5.962367453
106,6.937,1583.2,10.2074,2016-04-01_20:30:00,-16.7973,-3.9478,9.4131,0.0028,20160401,17,2016-04-02 04:30:00,6.194943718
107,7.046,1570.6,10.3804,2016-04-01_20:45:00,-16.7305,-4.071,9.5488,0.0029,20160401,18,2016-04-02 04:45:00,5.931158947
108,7.166,1561.7,10.5711,2016-04-01_21:00:00,-16.6161,-4.1959,9.7027,0.0028,20160401,19,2016-04-02 05:00:00,6.138659803
109,7.262,1556,10.7237,2016-04-01_21:15:00,-16.5039,-4.3629,9.796,0.0038,20160401,20,2016-04-02 05:15:00,6.157445949
110,7.29,1550.2,10.7668,2016-04-01_21:30:00,-16.4503,-4.5203,9.7719,0.0059,20160401,21,2016-04-02 05:30:00,6.046131932
111,7.305,1572.2,10.7911,2016-04-01_21:45:00,-16.4552,-4.6384,9.7434,0.0086,20160401,22,2016-04-02 05:45:00,5.883806819
112,7.316,1590.3,10.8095,2016-04-01_22:00:00,-16.4832,-4.721,9.7241,0.0097,20160401,23,2016-04-02 06:00:00,5.835028339
113,7.319,1590.2,10.8131,2016-04-01_22:15:00,-16.5056,-4.8122,9.6832,0.01,20160401,24,2016-04-02 06:15:00,5.896301795
114,7.293,1586.3,10.772,2016-04-01_22:30:00,-16.5219,-4.8639,9.6114,0.0101,20160401,25,2016-04-02 06:30:00,5.648726425
115,7.18,1575.7,10.5935,2016-04-01_22:45:00,-16.5197,-4.6961,9.4958,0.0103,20160401,26,2016-04-02 06:45:00,6.023647252
116,6.945,1581,10.2203,2016-04-01_23:00:00,-16.4191,-4.2893,9.2766,0.0088,20160401,27,2016-04-02 07:00:00,6.452541581
